TAIR ID;Short name;Full name;downregulated in following transcriptomes;upregulated in following transcriptomes;the number of transcriptomes where registered as DEG (FDR<0.05);start of expression changes;1_logFC_0.5h_PRJEB19862;2_logFC_0.5h_GSE18975;3_logFC_1h_GSE149410;4_logFC_1h_GSE18975;5_logFC_2h_GSE3350;6_logFC_2h_GSE35580;7_logFC_2h_GSE42896;8_logFC_2h_GSE627;9_logFC_3h_GSE18975;10_logFC_3h_GSE58028;11_logFC_4h_SRP033494;12_logFC_4h_GSE42007;13_logFC_4h_GSE7432;14_logFC_6h_SRP102803;15_logFC_6h_GSE3350;16_logFC_6h_GSE42896;17_logFC_6h_GSE59426;18_logFC_8h_GSE42007;19_logFC_12h_GSE42007;20_logFC_18h_GSE59741;21_logFC_24h_GSE42007;22_logFC_55h_SRP074436;23_logFC_72h_SRP214076;FDR_0.5h_PRJEB19862;FDR_0.5h_GSE18975;FDR_1h_GSE149410;FDR_1h_GSE18975;FDR_2h_GSE3350;FDR_2h_GSE35580;FDR_2h_GSE42896;FDR_2h_GSE627;FDR_3h_GSE18975;FDR_3h_GSE58028;FDR_4h_SRP033494;FDR_4h_GSE42007;FDR_4h_GSE7432;FDR_6h_SRP102803;FDR_6h_GSE3350;FDR_6h_GSE42896;FDR_6h_GSE59426;FDR_8h_GSE42007;FDR_12h_GSE42007;FDR_18h_GSE59741;FDR_24h_GSE42007;FDR_55h_SRP074436;FDR_72h_SRP214076
AT5G53250;AGP22;arabinogalactan protein 22(AGP22);2-4#6#8-19;5#7#22;19;0.5h;;-0.4;-1.3;-1.0;1.8;-2.1;1.6;-1.9;-1.3;-2.1;-3.6;-3.6;-0.9;-4.2;-0.8;-1.4;-1.3;-3.3;-2.8;;;3.4;;;2.9E-02;3.9E-08;7.7E-05;2.1E-02;4.5E-05;3.0E-04;4.0E-04;2.4E-05;2.1E-03;1.1E-239;8.5E-05;3.1E-02;3.6E-04;7.1E-03;9.2E-05;1.6E-05;1.5E-03;2.2E-03;;;4.4E-03;
AT1G55610;BRL1;BRI1 like(BRL1);;3-9#11-19#21-23;19;1h;;;1.8;0.6;2.2;2.9;1.9;1.2;1.1;;2.0;1.9;1.1;3.1;3.1;2.7;0.4;1.4;1.2;;1.1;3.1;1.1;;;1.4E-18;4.9E-04;7.3E-04;4.5E-06;5.4E-05;1.2E-02;8.5E-05;;3.0E-83;3.2E-04;3.5E-02;1.6E-11;6.7E-05;2.4E-07;3.1E-02;3.2E-04;5.2E-03;;3.0E-02;8.7E-81;1.4E-04
AT3G07390;AIR12;auxin-induced in root cultures-like protein(AIR12);;3-19#21-22;19;1h;;;2.0;0.9;4.1;4.9;4.1;2.4;1.8;0.8;4.5;3.1;2.0;5.7;5.2;5.0;0.6;3.3;3.6;;2.7;2.5;;;;2.0E-29;3.3E-04;1.0E-04;2.1E-07;3.5E-06;6.3E-04;4.2E-06;3.4E-02;0.0E+00;1.2E-05;4.1E-02;9.4E-28;4.5E-05;5.0E-08;1.1E-03;5.0E-06;1.2E-05;;4.2E-04;8.4E-68;
AT2G28690;AT2G28690;TOX high mobility group box protein, putative (DUF1635)(AT2G28690);;3-19#21-22;19;1h;;;2.2;0.9;2.9;3.1;2.3;2.0;2.1;1.3;5.3;4.5;1.8;4.8;2.7;4.3;0.7;4.9;4.8;;3.3;2.2;;;;9.0E-20;3.2E-03;3.1E-04;9.5E-06;1.9E-04;2.0E-04;8.9E-06;5.0E-03;0.0E+00;1.1E-04;1.0E-02;1.3E-07;1.6E-04;2.5E-07;1.6E-04;3.0E-05;1.7E-04;;1.7E-03;2.9E-07;
AT2G23060;AT2G23060;Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT2G23060);;3-19#21-22;19;1h;;;1.8;0.6;1.8;1.3;2.9;2.5;1.7;2.0;5.3;3.4;1.4;4.9;3.0;4.2;1.3;4.6;4.6;;3.6;0.9;;;;6.6E-03;6.9E-03;4.9E-04;1.3E-04;1.8E-04;3.6E-05;1.0E-05;1.3E-02;4.6E-179;5.4E-06;1.1E-02;9.4E-09;1.7E-04;6.1E-07;7.7E-04;1.8E-06;1.8E-05;;1.3E-03;2.7E-02;
AT1G72200;AT1G72200;RING/U-box superfamily protein(AT1G72200);2-16#18-19#21;6;18;0.5h;;-0.9;-0.6;-1.2;-1.2;-2.5;-1.4;-2.3;-1.9;-1.4;-2.4;-2.3;-0.6;-3.8;-1.7;-2.4;;-2.8;-2.3;;-1.7;;;;3.8E-04;8.9E-04;2.3E-05;1.5E-03;1.2E-05;3.3E-04;1.3E-04;3.0E-06;2.0E-02;1.4E-89;2.1E-04;4.8E-02;6.4E-06;3.7E-04;1.3E-06;;1.8E-04;1.0E-03;;1.1E-02;;
AT4G30140;CDEF1;GDSL-like Lipase/Acylhydrolase superfamily protein(CDEF1);22;4-19#21;18;1h;;;;0.5;3.0;4.8;3.2;1.4;2.1;1.2;3.6;4.9;1.8;5.2;6.6;6.6;1.6;5.0;5.7;;5.7;-2.9;;;;;1.5E-02;1.0E-04;2.9E-07;1.3E-03;6.1E-04;3.3E-06;4.4E-03;3.6E-90;3.1E-04;7.4E-03;7.2E-55;3.8E-05;6.9E-07;3.1E-02;2.0E-06;1.1E-04;;8.7E-05;6.8E-20;
AT5G65320;AT5G65320;basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT5G65320);;4-16#18-19#21-23;18;1h;;;;1.1;2.3;2.7;2.9;2.5;1.8;2.1;4.4;4.2;2.0;6.0;3.2;4.6;;4.9;5.4;;4.8;1.4;2.5;;;;1.9E-04;1.4E-03;6.5E-06;1.6E-04;1.5E-04;2.6E-06;1.2E-02;5.6E-136;1.0E-04;2.1E-02;1.3E-06;3.5E-04;7.7E-08;;4.5E-06;2.3E-06;;2.7E-05;2.6E-04;1.5E-03
AT2G19970;AT2G19970;CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein(AT2G19970);7;4#6#8-19#21-23;18;1h;;;;0.5;;2.8;-1.4;1.5;1.8;1.6;2.5;2.5;2.8;5.0;3.6;4.1;1.6;4.5;5.4;;5.5;4.3;3.1;;;;2.2E-02;;7.1E-05;4.5E-02;4.5E-03;3.0E-06;6.0E-03;8.1E-119;5.2E-03;3.4E-03;5.1E-37;3.6E-04;3.8E-06;6.2E-03;8.6E-06;1.3E-04;;3.4E-05;3.6E-101;4.5E-02
AT1G03820;AT1G03820;E6-like protein(AT1G03820);20;3-9#11-19#22;18;1h;;;2.0;0.7;4.0;3.4;3.0;1.5;1.3;;3.9;2.3;1.8;4.8;5.5;4.5;1.0;1.4;1.4;-1.0;;2.5;;;;4.0E-33;1.6E-03;1.4E-04;1.0E-06;2.2E-04;1.1E-03;3.9E-05;;0.0E+00;1.3E-02;1.7E-02;1.9E-13;1.9E-04;1.9E-06;9.5E-04;5.2E-03;1.7E-02;1.9E-02;;6.3E-36;
AT5G65670;IAA9;indole-3-acetic acid inducible 9(IAA9);;3-9#11-19#22-23;18;1h;;;0.8;0.5;1.0;1.1;0.8;0.7;1.0;;1.7;1.3;0.7;1.7;1.4;1.2;0.6;1.2;1.1;;;1.9;0.4;;;2.0E-13;1.0E-03;1.5E-03;4.3E-04;6.5E-04;2.7E-02;1.0E-05;;3.9E-203;5.6E-04;2.3E-02;1.2E-09;4.0E-04;6.5E-06;4.0E-03;2.9E-04;6.1E-04;;;1.0E-49;2.2E-02
AT1G19230;AT1G19230;Riboflavin synthase-like superfamily protein(AT1G19230);;3-9#11-18#21-23;18;1h;;;1.0;0.4;1.4;1.5;1.4;1.3;0.8;;1.5;1.5;1.2;1.8;2.1;1.4;0.7;1.4;;;1.1;4.1;2.2;;;3.4E-07;4.4E-02;8.5E-04;2.1E-04;1.1E-04;2.1E-04;7.8E-04;;1.5E-72;4.0E-04;4.3E-02;1.2E-05;2.2E-04;7.8E-06;2.2E-03;9.7E-03;;;4.8E-02;1.4E-56;3.1E-02
AT1G29270;AT1G29270;transcription factor bHLH35-like protein(AT1G29270);20#22;3-4#6-8#10-19#21;18;1h;;;1.0;0.4;;2.2;0.6;1.0;;0.9;2.2;3.9;0.6;5.0;3.6;4.9;0.8;4.3;4.4;-0.8;2.6;-1.7;;;;1.0E-02;1.7E-02;;3.2E-04;2.2E-02;4.6E-03;;4.1E-02;2.2E-22;3.6E-06;3.1E-02;3.4E-03;8.3E-04;1.8E-07;1.5E-02;4.9E-06;3.7E-05;4.3E-02;2.6E-02;9.3E-11;
AT1G34110;AT1G34110;Leucine-rich receptor-like protein kinase family protein(AT1G34110);;3-16#18-19#21-22;18;1h;;;0.8;0.3;2.7;3.5;3.0;2.0;1.1;0.8;2.0;2.0;1.3;2.8;4.4;4.1;;2.2;1.8;;2.4;1.6;;;;1.0E-05;2.6E-02;3.0E-04;3.7E-06;1.7E-05;2.5E-04;2.2E-05;1.0E-02;1.9E-147;7.1E-05;1.4E-02;1.3E-11;1.2E-04;9.2E-08;;7.6E-06;2.2E-04;;5.3E-04;3.2E-24;
AT2G32100;OFP16;ovate family protein 16(OFP16);2#9;3#5-8#11-13#15-22;18;0.5h;;-1.0;3.0;;3.3;3.8;3.8;1.2;-0.3;;3.2;2.8;0.8;;3.4;3.5;0.5;2.3;2.2;0.8;1.4;2.0;;;1.1E-05;8.5E-12;;5.0E-04;2.2E-05;3.9E-06;8.4E-03;2.9E-02;;8.2E-36;2.0E-04;1.7E-02;;1.4E-04;1.5E-07;3.2E-03;5.7E-05;1.7E-04;1.8E-02;1.7E-02;7.0E-12;
AT3G02885;GASA5;GAST1 protein homolog 5(GASA5);;3#5-19#21-22;18;1h;;;1.6;;3.0;4.6;2.2;1.5;1.1;1.0;5.7;4.0;3.6;6.0;3.4;5.5;0.9;4.6;4.6;;4.0;5.6;;;;3.1E-02;;5.9E-03;3.0E-06;2.4E-03;2.8E-03;2.6E-05;4.6E-02;0.0E+00;4.2E-03;7.8E-03;4.5E-39;1.2E-03;7.2E-07;7.2E-03;8.4E-05;2.3E-04;;6.5E-04;1.2E-108;
