Order;Experiment;Method;Organ;Conc;Time;Age;Agent;Study;DEGs;Specific_DEGs
1;SRP017925;S;EtSdl;10ul/l;4h;3d;Gas;S.EtSdl.10ul/l.4h.3d;1085;1.70%
2;SRP017926;S;EtSdl;10ul/l;4h;3d;Gas;S.EtSdl.10ul/l.4h.3d;741;7.60%
3;SRP069072/GSE77395;R;EtSdl;10ppm;4h;3d;Gas;R.EtSdl.10ppm.4h.3d;5253;20.00%
4;SRP076862/GSE83573 root;R;Root;10ppm;4h;3d;Gas;R.Root.10ppm.4h.3d;2296;12.80%
5;SRP168223/GSE122314;R;EtSdl;NaN;4h;3d;Gas;R.EtSdl.NaN.4h.3d;2557;9.60%
6;SRP017925;S;EtSdl;10ul/l;12h;3d;Gas;S.EtSdl.10ul/l.12h.3d;1541;3.90%
7;SRP017925;S;EtSdl;10ul/l;24h;3d;Gas;S.EtSdl.10ul/l.24h.3d;1586;6.90%
8;SRP076862/GSE83573 shoot;R;Shoot;10ppm;4h;3d;Gas;R.Shoot.10ppm.4h.3d;3715;18.20%
9;GSE7432;M;Root;10ppm;4h;3d;Gas;M.Root.10ppm.4h.3d;379;4.70%
10;SRP126162/GSE107699;R;Root;10ppm;4h;6d;Gas;R.Root.10ppm.4h.6d;4067;24.10%
11;SRP118634/GSE104146;R;Sdl;10uM;2h;4d;ACC;R.Sdl.10uM.2h.4d;1315;2.70%
12;SRP118634/GSE104146;R;Sdl;10uM;4h;4d;ACC;R.Sdl.10uM.4h.4d;3208;16.90%
13;GSE84446;M;Root;1uM;4h;6d;ACC;M.Root.1uM.4h.6d;522;5.90%
14;GSE84446;M;Root;1uM;8h;6d;ACC;M.Root.1uM.8h.6d;1310;7.50%
15;GSE84446;M;Root;1uM;12h;6d;ACC;M.Root.1uM.12h.6d;961;6.50%
16;GSE84446;M;Root;1uM;24h;6d;ACC;M.Root.1uM.24h.6d;1079;12.90%
