TAIR ID;Name;downregulated in following transcriptomes;upregulated in following transcriptomes;the number of transcriptomes where registered as DEG (FDR<0.05);start of expression changes;1 logFC_4h_SRP017925;2 logFC_4h_SRP017926;3 logFC_4h_SRP069072;4 logFC_4h_SRP076862_root;5 logFC_4h_SRP168223;6 logFC_12h_SRP017925;7 logFC_24h_SRP017925;8 logFC_4h_SRP076862_shoot;9 logFC_4h_GSE7432;10 logFC_4h_SRP126162;11 logFC_2h_SRP118634;12 logFC_4h_SRP118634;13 logFC_4h_GSE84446;14 logFC_8h_GSE84446;15 logFC_12h_GSE84446;16 logFC_24h_GSE84446;1 FDR_4h_SRP017925;2 FDR_4h_SRP017926;3 FDR_4h_SRP069072;4 FDR_4h_SRP076862_root;5 FDR_4h_SRP168223;6 FDR_12h_SRP017925;7 FDR_24h_SRP017925;8 FDR_4h_SRP076862_shoot;9 FDR_4h_GSE7432;10 FDR_4h_SRP126162;11 FDR_2h_SRP118634;12 FDR_4h_SRP118634;13 FDR_4h_GSE84446;14 FDR_8h_GSE84446;15 FDR_12h_GSE84446;16 FDR_24h_GSE84446
AT2G21640;marker for oxidative stress response protein(AT2G21640);14#16;;2;8_24h;;;;;;;;;;;;;;-3.8;;-3.1;;;;;;;;;;;;;;0.003721495;;0.016835745
AT2G47520;Integrase-type DNA-binding superfamily protein(ERF71);14#16;;2;8_24h;;;;;;;;;;;;;;-3;;-2.4;;;;;;;;;;;;;;0.003584778;;0.015479547
AT1G19960;transcription factor(AT1G19960);14;6;2;8_24h;;;;;;1.3;;;;;;;;-2.6;;;;;;;;0.024634358;;;;;;;;0.017259221;;
AT4G14060;Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT4G14060);14;;1;8_24h;;;;;;;;;;;;;;-2.5;;;;;;;;;;;;;;;;0.004291352;;
AT4G01390;TRAF-like family protein(AT4G01390);14#16;;2;8_24h;;;;;;;;;;;;;;-2.1;;-1.6;;;;;;;;;;;;;;0.007771338;;0.010173073
AT2G18140;Peroxidase superfamily protein(AT2G18140);14#16;;2;8_24h;;;;;;;;;;;;;;-2;;-1.7;;;;;;;;;;;;;;0.013839679;;0.020355264
AT2G38600;HAD superfamily, subfamily IIIB acid phosphatase(AT2G38600);14-16;;3;8_24h;;;;;;;;;;;;;;-1.9;-1.6;-1.3;;;;;;;;;;;;;;0.008394803;0.008759508;0.003405225
AT1G03660;Ankyrin-repeat containing protein(AT1G03660);14-16;;3;8_24h;;;;;;;;;;;;;;-1.8;-1.7;-1;;;;;;;;;;;;;;0.003460026;0.022300283;0.009721974
AT2G43390;hypothetical protein(AT2G43390);6#14-15;;3;8_24h;;;;;;-5.5;;;;;;;;-1.7;-2;;;;;;;0.009876213;;;;;;;;0.01215746;0.039819964;
AT4G39740;Thioredoxin superfamily protein(HCC2);14#16;;2;8_24h;;;;;;;;;;;;;;-1.6;;-1.6;;;;;;;;;;;;;;0.024959544;;0.003413984
